1317040011	中山醫學大學附設醫院
310995200Q	德育學校財團法人德育護理健康學院
310995200QU320000	德育學校財團法人德育護理健康學院軍訓室
310995700QU800000	崇右學校財團法人崇右影藝科技大學附設進修學院
310995700QU820000	崇右學校財團法人崇右影藝科技大學附設專科進修學校
310995700QU320000	崇右學校財團法人崇右影藝科技大學軍訓室
310995700Q	崇右學校財團法人崇右影藝科技大學
310995900QU800000	華夏學校財團法人華夏科技大學附設進修學院
310995900QU820000	華夏學校財團法人華夏科技大學附設專科進修學校
310995900QU320000	華夏學校財團法人華夏科技大學軍訓室
310995900Q	華夏學校財團法人華夏科技大學
310996100Q	中華醫事科技大學
310996100QU320000	中華醫事科技大學軍訓室
310996100QU810000	財團法人中華醫事科技大學
310996200QU320000	景文科技大學軍訓室
310996200QU820000	景文科技大學附設專科進修學校
310996200QU800000	景文科技大學附設進修學院
310996200Q	景文科技大學
310996300Q	法鼓學校財團法人法鼓文理學院
310996400QU320000	明道學校財團法人明道大學軍訓室
310996400QU310000	明道學校財團法人
310996400Q	明道學校財團法人明道大學
310996500QU800000	台北海洋學校財團法人台北海洋科技大學附設進修學院
310996500Q	台北海洋學校財團法人台北海洋科技大學
310996500QU320000	台北海洋學校財團法人台北海洋科技大學軍訓室
310996500QU820000	台北海洋學校財團法人台北海洋科技大學附設專科進修學校
310996500QU810000	台北海洋學校財團法人
310996600Q	德明財經科技大學
310996600QU320000	德明財經科技大學軍訓室
310996600QU900000	財團法人德明財經科技大學
310996700QU800000	東南科技大學附設進修學院
310996700Q	東南科技大學
310996700QU830000	東南科技大學校長遴選委員會
310996700QU820000	東南科技大學附設專科進修學校
310996700QU810000	財團法人東南科技大學
310996800QU320000	康寧學校財團法人康寧大學軍訓室
310996800Q	康寧學校財團法人康寧大學
310996900QU800000	南開科技大學附設進修學院
310996900QU320000	南開科技大學軍訓室
310996900QU180000	南開科技大學校長遴選委員會
310996900QU820000	南開科技大學附設專科進修學校
310996900Q	南開科技大學
310997000QU320000	明志科技大學軍訓室
310997000QU800000	明志科技大學附設進修學院
310997000Q	明志科技大學
310997200QU320000	廣亞學校財團法人育達科技大學軍訓室
310997200QU100000	廣亞學校財團法人
310997200QU200000	廣亞學校財團法人育達科技大學附設苗栗縣私立廣秀森林幼兒園
310997200Q	廣亞學校財團法人育達科技大學
310997300QU120000	中華學校財團法人中華科技大學校長遴選委員會
310997300QU800000	中華學校財團法人中華科技大學附設進修學院
310997300QU320000	中華學校財團法人中華科技大學軍訓室
310997300QU130000	中華學校財團法人
310997300QU820000	中華學校財團法人中華科技大學附設專科進修學校
310997300Q	中華學校財團法人中華科技大學
310997400QU320000	僑光科技大學軍訓室
310997400Q	僑光科技大學
310997600Q	美和學校財團法人美和科技大學
310997600QU820000	美和學校財團法人美和科技大學附設專科進修學校
310997600QU320000	美和學校財團法人美和科技大學軍訓室
310997600QU800000	美和學校財團法人美和科技大學附設進修學院
310997800QU320000	吳鳳學校財團法人吳鳳科技大學軍訓室
310997800QU800000	吳鳳學校財團法人吳鳳科技大學附設進修學院
310997800Q	吳鳳學校財團法人吳鳳科技大學
310997800QU820000	吳鳳學校財團法人吳鳳科技大學附設專科進修學校
310997900QU320000	台南家專學校財團法人台南應用科技大學軍訓室
310997900Q	台南家專學校財團法人台南應用科技大學
310997900QU230000	台南家專學校財團法人
313440000K	漢翔航空工業股份有限公司
345040300T	測試機關東勢管理處
345040400T	測試機關南投管理處
345040500T	測試機關嘉義管理處
345040600T	測試機關屏東管理處
345040800T	測試機關花蓮管理處
345041000T	康大測試林區管理處
3451000995	國際土地政策研究訓練中心
360000000GU650000	行政院公共工程委員會國會聯絡組
360000000GU150000	行政院公共工程委員會技術處
360000000GU420000	行政院公共工程委員會技師懲戒委員會
360000000GU100000	行政院公共工程委員會企劃處
360000000GU700000	行政院公共工程委員會資訊推動小組
360000000GU300000	行政院公共工程委員會人事室
360000000G	行政院公共工程委員會
360000000GU400000	行政院公共工程委員會法規委員會
360000000GU600000	行政院公共工程委員會中央採購稽核小組
360000000GU250000	行政院公共工程委員會秘書處
360000000GU051000	行政院公共工程委員會主任委員室
360000000GU410000	行政院公共工程委員會訴願審議委員會
360000000GU550000	行政院公共工程委員會工程技術鑑定委員會
360000000GU350000	行政院公共工程委員會主計室
360000000GU430000	行政院公共工程委員會技師懲戒覆審委員會
360000000GU500000	行政院公共工程委員會採購申訴審議委員會
360000000GU200000	行政院公共工程委員會工程管理處
360000000GU060000	行政院公共工程委員會主任秘書室
371010100A	金門縣金城鎮公所
371010200A	金門縣金湖鎮公所
371010200AU000001	金門縣金湖鎮選務作業中心
371010300A	金門縣金沙鎮公所
371010400A	金門縣金寧鄉公所
371010600A	金門縣金城鎮戶政事務所
371010700A	金門縣金湖鎮戶政事務所
371010800A	金門縣金沙鎮戶政事務所
371010900A	金門縣金寧鄉戶政事務所
371011000A	金門縣烈嶼鄉公所
371011100A	金門縣烏坵鄉公所
371011200A	金門縣烈嶼鄉戶政事務所
371011300D	金門縣稅務局
371011600A	金門縣地政局
371011700I	金門縣環境保護局
371011900C	金門縣消防局
371011900CU100010	金門縣消防局人事室
371012100C	金門縣警察局
371012100CU000002	金門縣政府少年輔導委員會
371012100CU000000	金門縣警察局人事室
371012111C	金門縣警察局金城分局
371012112C	金門縣警察局金湖分局
371012400EU005002	金門縣文化局人事室
371012400E	金門縣文化局
371012401E	金門縣文化園區管理所
371012600G	金門縣農業試驗所
371012700G	金門縣水產試驗所
371012900G	金門縣林務所
371013100G	金門縣畜產試驗所
371013700I	金門縣衛生局
371013701I	金門縣金城鎮衛生所
371013702I	金門縣金沙鎮衛生所
371013703I	金門縣金寧鄉衛生所
371013704I	金門縣烈嶼鄉衛生所
371013705I	金門縣金湖鎮衛生所
371013800G	金門縣動植物防疫所
371014200G	金門縣養護工程所
371014300J	金門縣殯葬管理所
371014400J	金門縣大同之家
371014500E	金門縣家庭教育中心
371014900L	金門縣陶瓷廠
371015100L	金門縣自來水廠
371015300L	金門縣金門日報社
371016000A	金門縣港務處
371016100M	金門縣公共車船管理處
371016700X	金門縣立金寧國民中小學
371017500XU000001	金門縣立金沙國民中學人事室
371017500XU000002	金門縣立金沙國民中學會計員
371017500X	金門縣立金沙國民中學
371017600X	金門縣立烈嶼國民中學
371017700XU103005	金門縣立金城國民中學人事室
371017700X	金門縣立金城國民中學
371017800XU103A10	金門縣立金湖國民中學人事室
371017800X	金門縣立金湖國民中學
3710198006	金門縣立金城幼兒園
371020000AU720000	金門縣政府城鄉發展處
371020000AU100000	金門縣政府人事處
371020000AU640000	金門縣政府工務處
371020000AU650000	金門縣政府社會處
371020000AU110000	金門縣政府政風處
371020000AU600000	金門縣政府民政處
371020000AU710000	金門縣政府產業發展處
371020000AU630000	金門縣政府教育處
371020000AU730000	金門縣政府綜合發展處
371020000AU140000	金門縣政府主計處
371020000AU610000	金門縣政府財政處
371020000A	金門縣政府
371020000AU660000	金門縣政府觀光處
371025901M	浯江輪渡有限公司
371026200L	金門酒廠實業股份有限公司
371026300A	金門縣採購招標所
371026400E	金門縣運動發展中心
371028000Y	金門縣金城鎮中正國民小學
371028000YU070001	金門縣金城鎮中正國民小學人事室
371028000YU070000	金門縣金城鎮中正國民小學會計室
371028100Y	金門縣金城鎮賢庵國民小學
371028200Y	金門縣金城鎮古城國民小學
371028300Y	金門縣金寧鄉金鼎國民小學
371028400Y	金門縣金寧鄉古寧國民小學
371028500Y	金門縣金湖鎮開瑄國民小學
371028600Y	金門縣金湖鎮柏村國民小學
371028700Y	金門縣金湖鎮多年國民小學
371028800Y	金門縣金沙鎮金沙國民小學
371028900Y	金門縣金沙鎮何浦國民小學
371029000Y	金門縣金沙鎮述美國民小學
371029100Y	金門縣金沙鎮安瀾國民小學
371029200Y	金門縣烈嶼鄉卓環國民小學
371029300Y	金門縣烈嶼鄉上岐國民小學
371029500Y	金門縣金湖鎮金湖國民小學
371029500YU000001	金門縣金湖鎮金湖國民小學人事室
371029500YU000002	金門縣金湖鎮金湖國民小學會計室
371029600Y	金門縣金湖鎮正義國民小學
371029700Y	金門縣金寧鄉湖埔國民小學
371029800Y	金門縣烈嶼鄉西口國民小學
371050000AU650000	連江縣政府工務處
371050000AU680000	連江縣政府文化處
371050000AU100000	連江縣政府人事處
371050000AU070000	連江縣政府主計處
371050000AU600000	連江縣政府民政社會處
371050000AU550000	連江縣政府政風處
371050000AU620000	連江縣政府教育處
371050000AU630000	連江縣政府產業發展處
371050000A	連江縣政府
371050000AU240000	連江縣政府行政處
371050100A	連江縣南竿鄉公所
371050100AU000001	連江縣選舉委員會南竿鄉選務作業中心
371050200A	連江縣北竿鄉公所
371050300A	連江縣莒光鄉公所
371050400A	連江縣東引鄉公所
371050600A	連江縣南竿鄉戶政事務所
371050700A	連江縣北竿鄉戶政事務所
371050800A	連江縣莒光鄉戶政事務所
371050900A	連江縣東引鄉戶政事務所
371051500A	連江縣地政局
371052000C	連江縣消防局
371052100C	連江縣警察局
371052101C	連江縣警察局刑事警察隊
371052104C	連江縣警察局保安警察隊
371052111C	連江縣警察局南竿警察所
371052112C	連江縣警察局北竿警察所
371052113C	連江縣警察局莒光警察所
371052114C	連江縣警察局東引警察所
371052200D	連江縣財政稅務局
371052300H	連江縣交通旅遊局
371052400I	連江縣環境資源局
371052500J	連江縣大同之家
371052600E	連江縣家庭教育中心
371052700H	連江縣港務處
371053601I	連江縣北竿衛生所
371053602I	連江縣東莒衛生所
371053603I	連江縣西莒衛生所
371053604I	連江縣東引衛生所
371053611P	連江縣立醫院
371053700I	連江縣衛生局
371054100M	連江縣公共汽車管理處
371054200L	連江縣馬祖日報社
371054300L	連江縣自來水廠
371054400L	馬祖酒廠實業股份有限公司
371057000X	連江縣立中山國民中學
371057100X	連江縣立介壽國民中小學
371057200X	連江縣立中正國民中小學
371057300X	連江縣立敬恆國民中小學
371057400X	連江縣立東引國民中小學
371058000Y	連江縣南竿鄉仁愛國民小學
371058100Y	連江縣北竿鄉塘岐國民小學
371058300Y	連江縣莒光鄉東莒國民小學
371740500A	連江縣東引鄉民代表會
371740600A	連江縣南竿鄉民代表會
371740700A	連江縣北竿鄉民代表會
371740800A	連江縣莒光鄉民代表會
371750000A	金門縣議會
371750000AU000004	金門縣議會人事機構
371750100A	金門縣金城鎮民代表會
371750200A	金門縣金湖鎮民代表會
371750300A	金門縣金沙鎮民代表會
371750400A	金門縣金寧鄉民代表會
371750500A	金門縣烈嶼鄉民代表會
371760000A	連江縣議會
376420000AU180000	宜蘭縣政府交通處
376420000AU100000	宜蘭縣政府地政處
376420000A	宜蘭縣政府
376420000AU030000	宜蘭縣政府工商旅遊處
376420000AU060000	宜蘭縣政府教育處
376420000AU170000	宜蘭縣政府勞工處
376420000AU050000	宜蘭縣政府水利資源處
376420000AU150000	宜蘭縣政府人事處
376420000AU070000	宜蘭縣政府農業處
376420000AU040000	宜蘭縣政府建設處
376420000AU160000	宜蘭縣政府政風處
376420000AU120000	宜蘭縣政府計畫處
376420000AU010000	宜蘭縣政府民政處
376420000AU080000	宜蘭縣政府社會處
376420000AU140000	宜蘭縣政府主計處
376420000AU110000	宜蘭縣政府秘書處
376420000AU190000	宜蘭縣政府原住民族行政處
376420001G	宜蘭縣海洋及漁業發展所
376420303I	宜蘭縣政府衛生局
376420306I	宜蘭縣政府環境保護局
376420306IU004000	宜蘭縣政府環境保護局會計室
